report_day,new_installs,sign_up,kyc_completed,fs_eligible,first_disbursement_all,cost_digital,cost_offline_,cac,cac_incl_branding,cpi,cpl,cpkyc,installssignup,sign_upkyc_completed,kycfirst_disb,first_disbursement_personal,first_disbfidobiz_new,first_disb_fidobiz_migrated_new,first_disb_fidobiz_migrated_old,fsfirst_disb,new_install_first_dis,signupfirst_dis
2025-05-01,573,572,267,103,119,$423,$98,$4.38,,$0.91,$0.91,$1.95,100%,47%,45%,119,0,4,2,,21%,21%
2025-05-02,558,568,264,72,90,$431,$98,$5.88,,$0.95,$0.93,$2.00,102%,46%,34%,87,3,14,2,,16%,16%
2025-05-03,516,517,256,76,89,$411,$98,$5.72,,$0.99,$0.98,$1.99,100%,50%,35%,87,2,4,1,,17%,17%
2025-05-04,466,490,211,70,55,$421,$98,$9.44,,$1.11,$1.06,$2.46,105%,43%,26%,55,0,3,1,,12%,11%
2025-05-05,543,556,259,97,122,$458,$98,$4.56,,$1.02,$1.00,$2.15,102%,47%,47%,118,4,8,2,,22%,22%
2025-05-06,493,509,264,88,107,$468,$98,$5.29,,$1.15,$1.11,$2.14,103%,52%,41%,101,6,4,2,,22%,21%
2025-05-07,541,565,257,80,112,$439,$98,$4.80,,$0.99,$0.95,$2.09,104%,45%,44%,106,6,7,2,,21%,20%
2025-05-08,523,509,237,74,85,$469,$98,$6.67,,$1.08,$1.11,$2.39,97%,47%,36%,83,2,10,1,,16%,17%
2025-05-09,595,608,277,88,109,$480,$98,$5.30,,$0.97,$0.95,$2.09,102%,46%,39%,101,8,11,2,,18%,18%
2025-05-10,498,529,255,67,80,$448,$98,$6.83,,$1.10,$1.03,$2.14,106%,48%,31%,80,0,2,0,,16%,15%
2025-05-11,465,468,198,66,95,$449,$98,$5.76,,$1.18,$1.17,$2.76,101%,42%,48%,95,,,,,20%,20%
2025-05-12,619,647,280,87,127,$466,$98,$4.44,,$0.91,$0.87,$2.02,105%,43%,45%,122,5,6,2,,21%,20%
2025-05-13,572,609,261,87,106,$427,$98,$4.95,,$0.92,$0.86,$2.01,106%,43%,41%,104,2,6,2,,19%,17%
2025-05-14,551,554,254,78,99,$454,$98,$5.58,,$1.00,$1.00,$2.17,101%,46%,39%,92,7,4,1,,18%,18%
2025-05-15,536,571,264,79,95,$415,$98,$5.40,,$0.96,$0.90,$1.94,107%,46%,36%,90,5,9,3,,18%,17%
2025-05-16,501,531,257,82,107,$426,$98,$4.90,,$1.05,$0.99,$2.04,106%,48%,42%,104,3,13,1,,21%,20%
2025-05-17,488,538,239,58,73,$407,$98,$6.92,,$1.04,$0.94,$2.11,110%,44%,31%,71,2,4,1,,15%,14%
2025-05-18,505,503,250,75,82,$424,$98,$6.37,,$1.03,$1.04,$2.09,100%,50%,33%,81,1,2,0,,16%,16%
2025-05-19,504,550,295,102,124,$420,$98,$4.18,,$1.03,$0.94,$1.76,109%,54%,42%,116,8,6,1,,25%,23%
2025-05-20,543,567,248,28,58,$455,$98,$9.54,,$1.02,$0.98,$2.23,104%,44%,23%,53,5,5,0,,11%,10%
2025-05-21,505,568,295,129,115,$437,$98,$4.66,,$1.06,$0.94,$1.82,112%,52%,39%,110,5,2,2,,23%,20%
2025-05-22,517,529,247,99,114,$427,$98,$4.61,,$1.02,$0.99,$2.13,102%,47%,46%,114,0,10,1,,22%,22%
2025-05-23,467,543,267,74,96,$443,$98,$5.64,,$1.16,$1.00,$2.03,116%,49%,36%,91,5,8,3,,21%,18%
2025-05-24,466,506,218,72,78,$420,$98,$6.64,,$1.11,$1.02,$2.38,109%,43%,36%,78,0,1,0,,17%,15%
2025-05-25,425,428,216,71,73,$391,$98,$6.70,,$1.15,$1.14,$2.26,101%,50%,34%,72,1,0,1,,17%,17%
2025-05-26,528,493,238,82,108,$423,$98,$4.83,,$0.99,$1.06,$2.19,93%,48%,45%,99,9,7,3,,20%,22%
2025-05-27,504,540,272,87,101,$373,$98,$4.66,,$0.93,$0.87,$1.73,107%,50%,37%,97,4,1,6,,20%,19%
2025-05-28,468,514,265,85,103,$379,$98,$4.63,,$1.02,$0.93,$1.80,110%,52%,39%,87,16,3,0,,22%,20%
2025-05-29,,,,,0,$378,$98,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!
2025-05-30,,,,,0,$363,$98,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!
2025-05-31,,,,,0,$359,$98,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!
